"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API 自动化层","1","支付模块","0","0","交易映射","0"
"0","API 自动化层","5","认证授权","4","0","","0"
"0","API 自动化层","2","订单模块","0","0","下单扣库存","0"
"0","API 自动化层","0","契约测试","3","0","码表结构","0"
"0","API 自动化层","1","支付模块","0","0","金额服务端重算","0"
"0","API 自动化层","1","支付模块","0","0","参数校验","0"
"0","API 自动化层","0","契约测试","2","0","行为语义","0"
"0","API 自动化层","0","契约测试","1","0","前端映射","0"
"0","API 自动化层","2","用户模块","0","0","注册查重","0"
"0","API 自动化层","0","契约测试","1","0","锚点常量","0"
"0","API 自动化层","1","支付模块","0","0","越权防护","0"
"0","API 自动化层","2","订单模块","0","0","下单锁地","0"
"0","API 自动化层","1","认证授权","0","0","密码登录","0"
"0","API 自动化层","1","用户模块","0","0","提权漏洞回归","0"
"0","API 自动化层","2","订单模块","0","0","删单回滚","0"
"0","API 自动化层","1","用户模块","0","0","注册字段锁定","0"
"0","API 自动化层","1","订单模块","0","0","越权防护","0"
"0","API 自动化层","1","支付模块","0","0","重复支付防护","0"
"0","API 自动化层","1","用户模块","0","0","数据隔离","0"
